,Resort,Ski Pass,Location (State),Days Open This Season,Avg Total Snowfall (inches),Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Lift Amount,Skiable Terrain (Acres),Top Elevation (ft),Total Runs,skiable_acres,base_elevation_ft,top_elevation_ft,vertical_ft,trails,historical_average_snowfall_inches,historical_average_snowfall_days,Limited or unlimited,Longest Run,Snow Making,Years Open,Night Skiing
0,Keystone,Epic,Colorado,170,210,26,43,66,0,20,3149,12408.0,135,3149.0,9280,12408,3128,128,329.0,81.0,unlimited,3.5,662,52,288 ac
1,Breckenridge,Epic,Colorado,199,355,25,43,67,52,35,2908,12998.0,187,2908.0,9600,12998,3398,187,305.0,78.0,unlimited,3.5,600,61,
2,Vail,Epic,Colorado,160,354,63,96,110,5,31,5317,11570.0,275,5317.0,8120,11570,3450,195,254.0,68.0,unlimited,4.0,461,60,
3,Park City,Epic,Utah,139,260,26,140,95,78,41,7300,10000.0,341,7300.0,6900,10026,3126,348,287.0,57.0,unlimited,3.5,500,59,
4,Beaver Creek,Epic,Colorado,144,325,57,45,36,12,25,1815,11440.0,150,2082.0,8100,11440,3340,167,238.0,63.0,unlimited,2.8,650,42,
5,Crested Butte,Epic,Colorado,145,236,17,30,30,44,16,1547,12106.0,121,1547.0,9375,12162,2787,162,211.0,53.0,unlimited,2.6,297,61,
6,Heavenly Mountain,Epic,California,145,360,8,68,30,6,28,4800,10067.0,113,4800.0,6255,10067,3812,97,280.0,41.0,unlimited,5.5,3379,67,
7,Northstar California,Epic,California,130,341,13,60,27,0,20,3170,8610.0,100,3170.0,6330,8610,2280,97,348.0,46.0,unlimited,1.4,1500,50,
8,Kirkwood Mountain,Epic,California,175,362,10,26,33,17,15,2300,9800.0,86,2300.0,7800,9800,2000,86,370.0,46.0,unlimited,2.5,200,50,
9,Stevens Pass,Epic,Washington,130,460,3,25,15,9,10,1125,5845.0,52,1125.0,4061,5845,1784,37,338.0,61.0,unlimited,1.0,0,85,450 ac
10,Stowe Mountain,Epic,Vermont,150,315,19,64,17,17,12,485,4395.0,116,485.0,1559,3719,2160,116,224.0,61.0,unlimited,3.7,388,89,
11,Okemo Mountain,Epic,Vermont,140,200,40,46,26,11,20,667,3344.0,122,667.0,1144,3344,2200,123,120.0,32.0,unlimited,3.4,654,66,
12,Mount Snow,Epic,Vermont,135,133,13,57,14,1,20,600,3600.0,86,600.0,1900,3600,1700,86,135.0,39.0,unlimited,1.2,240,70,150 ac
13,Mount Sunapee,Epic,New Hampshire,130,100,20,31,7,9,8,232,2743.0,67,230.0,1230,2743,1513,66,97.0,25.0,limited,0.8,215,74,
14,Afton Alps,Epic,Minnesota,130,60,13,14,10,0,21,250,1530.0,37,300.0,350,700,350,36,42.0,15.0,unlimited,0.5,250,59,250 ac
15,Wilmot Mountain,Epic,Wisconsin,130,71,7,7,7,0,11,135,1030.0,21,120.0,770,960,190,23,24.0,10.0,unlimited,0.5,135,84,135 ac
16,Mt. Brighton,Epic,Michigan,105,60,5,12,7,2,13,130,1330.0,26,130.0,1100,1330,230,25,418.0,67.0,limited,0.1,130,62,130 ac
17,Telluride,Epic,Colorado,132,276,23,44,31,50,18,2000,13150.0,147,2000.0,8725,13150,4425,127,219.0,48.0,limited,4.6,220,50,
18,Alta,Ikon,Utah,150,547,18,35,66,0,6,2614,11068.0,119,2614.0,8530,11068,2538,118,399.0,66.0,limited,1.3,140,84,
19,Arapahoe Basin,Ikon,Colorado,230,350,10,29,72,35,9,1428,13050.0,147,1428.0,10520,13050,2530,145,276.0,87.0,limited,1.5,125,76,
