Resort,Country,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Snow cannons,Total lifts,Lift capacity,Snowparks,Nightskiing,latitude,longitude,Snow
Hemsedal,Norway,46,November - May,1450,620,29,10,4,43,325,21,22921,Yes,Yes,60.875,8.375,98.25571428571428
Geilosiden Geilo,Norway,44,November - April,1178,800,18,12,4,34,100,24,14225,Yes,Yes,60.625,8.125,100.0
Golm,Austria,48,December - April,2110,650,13,12,1,26,123,11,16240,No,No,47.125,9.875,44.544285714285714
Hafjell,Norway,45,November - April,1030,195,33,7,4,44,150,18,21060,Yes,Yes,61.125,10.625,96.13
Voss,Norway,43,November - May,960,284,25,4,11,40,40,11,11900,Yes,No,60.625,6.375,87.69624999999999
Hochschwarzeck,Germany,22,December - April,1385,1030,4,0,0,4,0,4,2880,No,No,47.625,12.875,52.75833333333333
Rossfeld - Berchtesgaden - Oberau,Germany,20,December - April,1554,1300,7,1,0,8,0,4,3229,Yes,Yes,47.625,13.125,27.755
Brauneck Lenggries ?Wegscheid,Germany,35,December - April,1712,700,8,22,4,34,0,21,19100,No,Yes,47.625,11.625,56.928
Zermatt - Matterhorn,Switzerland,81,Year-round,3899,1562,75,220,27,322,1060,63,93464,Yes,No,45.875,7.625,75.25285714285714
Val Gardena,Italy,54,December - April,2518,1236,52,105,18,175,630,84,121914,Yes,No,46.625,11.625,40.392
Gressoney - La-Trinite (Monterosa Ski),Italy,43,December - April,3275,1212,23,94,15,132,655,30,31984,Yes,No,45.875,7.875,49.5075
Les Gets (Les Portes du Soleil),France,51,December - April,2466,1000,310,210,60,580,1074,174,252280,Yes,Yes,46.125,6.625,73.36
Espace San Bernardo – La Rosière/?La Thuile,France,43,December - April,2641,1176,55,83,22,160,0,40,53669,Yes,No,45.625,6.875,69.961
The Lecht,United Kingdom,33,December - April,775,637,5,9,4,18,0,13,9750,Yes,Yes,57.125,-3.125,56.595
Les Contamines-?Hauteluce,France,39,December - April,2437,1164,40,60,20,120,0,24,33972,No,Yes,45.875,6.625,67.39
Nevis Range,United Kingdom,36,December - April,655,91,7,10,3,20,0,12,10350,No,No,56.875,-4.875,93.7
Valchiavenna – Madesimo/?Campodolcino,Italy,39,November - April,1550,1082,13,28,5,46,0,13,26060,Yes,Yes,46.375,9.375,66.53571428571429
La Thuile / La Rosière - Espace San Bernardo,Italy,43,December - April,2641,1176,55,83,22,160,0,40,53669,Yes,No,45.625,6.875,69.961
Livigno – Carosello/?Mottolino,Italy,46,November - May,2798,1816,30,65,20,115,0,44,50850,Yes,Yes,46.625,10.125,78.17714285714285
Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,Italy,50,November - April,2504,770,60,68,22,150,0,65,102340,Yes,Yes,46.125,10.875,63.66571428571428
Wagrain (Ski amedé),Austria,52,November - April,1980,740,30,81,4,115,600,49,75398,Yes,No,47.375,13.375,67.78333333333333
Kaunertal Glacier (Kaunertaler Gletscher),Austria,43,September - June,3108,2180,14,4,2,20,0,9,13200,No,No,46.875,10.625,68.54400000000001
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,53,November - April,2096,830,140,112,18,270,927,71,135104,Yes,Yes,47.375,12.625,83.07142857142857
Sestriere ski resort (Via Lattea),Italy,48,November - April,2749,1372,96,220,84,400,0,71,96433,No,Yes,44.875,6.875,83.57714285714285
Reither Kogel-Reith im Alpbachtal,Austria,46,December - March,1280,670,1,3,0,4,0,5,4070,No,Yes,47.375,11.875,54.13333333333333
Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,Andorra,47,November - April,2640,1710,100,77,33,210,1032,72,99017,Yes,Yes,42.625,1.625,77.44714285714285
Rinerhorn (Davos Klosters),Switzerland,48,December - March,2490,1454,10,22,8,40,14,7,6900,Yes,No,46.625,9.875,66.96799999999999
Madrisa (Davos Klosters),Switzerland,52,December - March,2611,1142,6,9,9,24,9,10,6640,Yes,No,46.875,9.875,66.72999999999999
Jakobshorn (Davos Klosters),Switzerland,58,December - April,2590,1540,25,13,2,40,140,13,15800,Yes,No,46.875,9.875,66.72999999999999
Glacier 3000 / Les Diablerets,Switzerland,54,October - May,3016,1343,9,3,12,24,0,10,10260,Yes,No,46.375,7.125,63.38857142857143
Obergurgl-Hochgurgl,Austria,50,November - May,3082,1793,35,55,20,110,320,28,38861,Yes,Yes,46.875,11.125,64.8625
Les Deux alpes,France,49,"December - April, June - August, October - November",3560,1280,110,56,34,200,224,54,72334,Yes,Yes,45.125,6.125,56.98916666666667
Stubai Glacier,Austria,46,September - June,3212,1697,19,15,4,38,69,26,39784,Yes,No,46.875,11.125,64.8625
Fonna Glacier,Norway,42,May - September,1460,1200,2,2,0,4,0,1,1200,Yes,No,60.125,6.375,81.55285714285715
Tignes - ?Val d'Ise?re,France,56,"November - May, June - August",3456,1550,170,78,52,300,848,86,145461,Yes,No,45.375,6.875,61.05583333333333
La Plagne (Paradiski),France,50,December - April,3167,1207,139,59,27,225,417,100,136733,Yes,No,45.625,6.625,85.03999999999999
Les Orres,France,35,December - April,2720,1550,30,60,10,100,190,20,21020,Yes,No,44.625,6.625,31.166666666666668
Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,France,40,December - April,2069,1000,132,49,11,192,472,83,90852,Yes,Yes,45.875,6.625,67.39
Avoriaz (Les Portes du Soleil),France,51,December - April,2466,1000,310,210,60,580,1074,174,252280,Yes,Yes,46.125,6.875,69.46142857142857
Cha?tel (Les Portes du Soleil),France,51,December - April,2466,1000,310,210,60,580,1074,174,252280,Yes,Yes,46.375,6.875,48.556666666666665
Le Lys - Cauterets,France,37,November - April,1360,932,21,12,3,36,0,11,13038,Yes,No,42.875,-0.125,64.3488888888889
Pont d'Espagne - Cauterets,France,35,November - April,1756,1516,3,1,0,4,0,4,4150,No,No,42.875,-0.125,64.3488888888889
La Grave - La Meije,France,49,December - April,3534,1470,3,0,0,3,0,3,1460,No,No,45.125,6.375,70.12875
Courchevel (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
Saint Martin de Belleville (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
Alpe d'Huez,France,51,December - April,3330,1125,70,130,50,250,963,68,92097,Yes,Yes,45.125,6.125,56.98916666666667
La Tania-Val Thorens/?Les Menuires/?Me?ribel (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
Sainte-Foy-Tarentaise,France,31,December - April,2620,1550,10,25,6,41,10,6,7100,No,No,45.625,6.875,69.961
Les Arcs /? Peisey-Vallandry (Paradiski),France,50,December - April,3226,1200,104,70,26,200,793,52,82641,Yes,Yes,43.375,6.375,0.39
Montgene?vre (Via Lattea),France,48,November - April,2749,1372,96,220,84,400,0,71,96433,No,Yes,44.875,6.625,53.87
Bonneval sur Arc,France,28,December - April,3000,1850,13,11,1,25,0,11,8213,No,No,45.375,7.125,63.54916666666667
Val Thorens (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
Serre Chevalier-Brianc?on/?Chantemerle/?Villeneuve-la-Salle/?Le Mone?tier-les-Bains,France,49,December - April,2800,1200,138,80,32,250,575,61,72066,Yes,Yes,44.875,6.625,53.87
Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,Switzerland,55,November - April,2320,944,33,56,13,102,0,26,29250,No,No,46.625,7.875,46.792857142857144
Grands Montets-Argentie?re (Chamonix),France,62,December - May,3275,1252,6,9,14,29,0,9,15756,Yes,No,45.875,6.875,57.44833333333333
Arcali?s-Ordino (Vallnord),Andorra,37,November - April,2625,1940,13,14,3,30,106,15,14240,Yes,No,42.625,1.375,75.30857142857143
Ruka,Finland,43,October - June,492,291,9,7,2,18,70,22,22915,Yes,Yes,66.125,29.125,87.99166666666667
Levi,Finland,43,November - May,531,206,15,19,2,36,267,29,30110,Yes,Yes,67.875,24.875,75.655
Kranjska Gora,Slovenia,33,December - April,1215,800,10,8,2,20,0,20,17774,Yes,Yes,46.375,13.875,78.14833333333333
El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),Andorra,47,November - April,2640,1710,100,77,33,210,1032,72,99017,Yes,Yes,42.625,1.625,77.44714285714285
Bansko,Bulgaria,30,December - April,2560,990,20,24,3,47,380,17,24233,Yes,Yes,41.875,23.375,30.77333333333333
Kitzsteinhorn - Kaprun,Austria,50,July,3029,1978,13,25,3,41,105,17,33598,Yes,No,47.125,12.625,48.94916666666666
Glencoe Mountain,United Kingdom,35,December - April,1070,360,7,10,7,24,0,8,5800,No,No,56.625,-5.125,51.836666666666666
Sölden,Austria,53,September - May,3340,1350,70,44,29,143,363,36,70370,Yes,Yes,46.875,11.125,64.8625
Kuühtai,Austria,37,November - April,2520,1938,6,26,8,40,80,12,17254,Yes,Yes,47.125,11.125,82.33857142857143
Obertauern,Austria,46,November - May,2313,1630,61,35,4,100,280,31,50797,Yes,Yes,47.125,13.625,69.98
Elfer Neustift,Austria,29,December - March,2080,981,0,7,0,7,0,4,2980,No,No,47.125,11.375,69.12142857142857
Serfaus-Fiss-Ladis,Austria,49,December - April,2820,1200,47,123,28,198,1250,68,78460,Yes,Yes,47.125,10.625,55.962857142857146
Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,Austria,52,December - April,1900,800,52,41,19,112,520,35,49232,Yes,Yes,47.375,12.875,64.63166666666666
