Resort,Ski Pass,Location (State),Days Open This Season,Avg Total Snowfall (inches),Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Lift Amount,Skiable Terrain (Acres),Top Elevation (ft),Total Runs
Keystone,Epic,Colorado,170,210,26,43,66,,20,"3,149","12,408",135
Breckenridge,Epic,Colorado,199,355,25,43,67,52,35,2908,"12,998",187
Vail,Epic,Colorado,160,354,63,96,110,5,31,5317,11570,275
Park City,Epic,Utah,139,260,26,140,95,78,41,7300,10000,341
Beaver Creek,Epic,Colorado,144,325,57,45,36,12,25,1815,11440,150
Crested Butte,Epic,Colorado,145,236,17,30,30,44,16,1547,"12,106",121
Heavenly,Epic,California,145,360,8,68,30,6,28,4800,10067,113
Northstar,Epic,California,130,341,13,60,27,,20,3170,8610,100
Kirkwood,Epic,California,175,362,10,26,33,17,15,2300,9800,86
Stevens Pass,Epic,Washington,130,460,3,25,15,9,10,1125,5845,52
Stowe,Epic,Vermont,150,315,19,64,17,17,12,485,4395,116
Okemo,Epic,Vermont,140,200,40,46,26,11,20,667,3344,122
Hunter,Epic,New York,138,121,17,20,20,10,13,320,3200,67
Mt. Snow,Epic,Vermont,135,133,13,57,14,1,20,600,3600,86
Mt. Sunapee,Epic,New Hampshire,130,100,20,31,7,9,8,232,2743,67
Wildcat,Epic,New Hampshire,150,200,10,22,16,0,5,225,4062,48
Seven Springs,Epic,Pennsylvania,99,136,16,15,6,5,14,285,2994,42
Attitash,Epic,New Hampshire,120,121,18,31,19,,7,311,2350,68
Jack Frost,Epic,Pennsylvania,100,50,4,7,7,,9,100,2000,18
Crotched,Epic,New Hampshire,100,106,6,9,10,,5,100,2066,25
"Hidden Valley, PA",Epic,Pennsylvania,100,141,7,13,6,,11,110,2875,26
Laurel Mountain,Epic,Pennsylvania,90,41,11,6,3,,2,70,2766,20
Roundtop,Epic,Pennsylvania,85,30,6,4,7,2,9,103,1400,19
Whitetail,Epic,Pennsylvania,90,41,7,12,2,2,8,120,1800,23
Liberty,Epic,Pennsylvania,85,32,7,8,3,3,7,100,1190,21
Big Boulder,Epic,Pennsylvania,82,50,6,3,7,,8,55,2175,16
Afton Alps,Epic,Minnesota,130,60,13,14,10,,21,250,1530,37
Wilmot,Epic,Wisconsin,130,71,7,7,7,,11,135,1030,21
Mt Brighton,Epic,Michigan,105,60,5,12,7,2,13,130,1330,26
"Hidden Valley, MO",Epic,Missouri,90,26,6,7,2,,7,17,2566,15
Mad River,Epic,Ohio,95,36,6,7,4,4,12,144,1460,21
Snow Creek,Epic,Missouri,70,21,4,7,1,,6,30,1100,12
Boston Mills and Brandywine,Epic,Ohio,90,52,1,2,3,,8,40,871,6
Paoli Peaks,Epic,Indiana,60,19,7,5,2,1,8,65,900,15
Alpine Valley,Epic,Wisconsin,100,80,7,8,6,,13,90,1040,21
Telluride,Epic,Colorado,132,276,23,44,31,50,18,2000,13150,147
Alta,Ikon,Utah,150,547,18,35,66,,6,2614,11068,119
Arapahoe Basin,Ikon,Colorado,230,350,10,29,72,35,9,1428,13050,147
Aspen Mountain,Ikon,Colorado,150,300,,48,26,26,8,673,12510,76
Big Sky,Ikon,Montana,140,400,47,79,133,57,36,5800,11166,317
Blue Mountain,Ikon,Pennsylvania,120,34,16,6,14,4,16,171,1600,40
Boyne Mountain,Ikon,Missouri,125,141,31,17,13,2,12,415,1120,63
Brighton,Ikon,Utah,140,500,14,26,25,,8,1050,10500,65
Buttermilk,Ikon,Colorado,110,200,15,17,10,2,8,470,9900,44
Copper Mountain,Ikon,Colorado,155,300,38,36,51,25,24,2527,12313,150
Crystal Mountain,Ikon,Washington,150,486,7,26,27,25,11,2600,7012,85
Deer Valley,Ikon,Utah,130,300,28,32,10,33,21,2026,9570,102
Eldora,Ikon,Colorado,160,312,11,29,11,9,10,680,10600,61
Jackson Hole,Ikon,Wyoming,136,460,5,54,50,22,16,2500,10450,131
June Mountain,Ikon,California,100,250,7,17,12,7,7,1500,10090,43
Killington,Ikon,Vermont,200,250,28,66,61,,22,1526,4241,155
Mammoth Mountain,Ikon,California,250,400,26,83,42,22,25,3500,11053,173
Mt Bachelor,Ikon,Oregon,180,462,23,65,26,4,12,4323,9065,119
Palisades Tahoe,Ikon,California,205,450,68,122,81,,36,6000,9050,270
Pico Mountain,Ikon,Vermont,85,250,10,26,21,,7,468,3967,58
Schweitzer Mountain,Ikon,Idaho,135,300,9,37,32,14,10,2900,6400,92
Snow Summit Mountain Resort,Ikon,California,125,100,7,14,6,3,10,240,8200,30
Snow Valley Mountain,Ikon,California,125,160,4,13,11,4,12,240,7841,32
Snowbasin,Ikon,Utah,140,300,11,39,61,7,12,3000,9350,118
Snowbird,Ikon,Utah,190,500,11,35,60,33,14,2500,11000,140
Solitude,Ikon,Utah,150,500,4,25,38,15,8,1200,10488,82
Steamboat,Ikon,Colorado,145,336,20,74,68,9,21,2965,10568,171
Stratton Mountain,Ikon,Vermont,140,180,40,34,25,,11,670,3875,99
Sugarbush,Ikon,Vermont,155,250,25,47,30,8,16,581,4083,111
Sun Valley,Ikon,Idaho,140,221,31,47,42,,17,2457,9150,120
Taos Ski Valley,Ikon,New Mexico,135,300,15,17,33,44,13,1294,12481,110
The Summit at Snoqualmie,Ikon,Washington,125,428,10,26,29,,20,1994,3865,65
Windham Mountain,Ikon,New York,120,106,11,26,10,7,11,285,3100,54
Winter Park Resort,Ikon,Colorado,162,360,40,35,79,12,25,3081,12060,165
