,Resort,Ski Pass,Location (State),Days Open This Season,Avg Total Snowfall (inches),Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Lift Amount,Total Runs,skiable_acres,base_elevation_ft,top_elevation_ft,vertical_ft,historical_average_snowfall_inches,historical_average_snowfall_days,Limited or unlimited,Longest Run,Snow Making,Night Skiing,ScarinessIndex
0,Keystone,Epic,Colorado,170,210,26,43,66,0,20,135,3149.0,9280,12408,3128,329.0,81.0,unlimited,3.5,662,288 ac,7182.81
1,Breckenridge,Epic,Colorado,199,355,25,43,67,52,35,187,2908.0,9600,12998,3398,305.0,78.0,unlimited,3.5,600,,9448.98
2,Vail,Epic,Colorado,160,354,63,96,110,5,31,275,5317.0,8120,11570,3450,254.0,68.0,unlimited,4.0,461,,7590.0
3,Park City,Epic,Utah,139,260,26,140,95,78,41,341,7300.0,6900,10026,3126,287.0,57.0,unlimited,3.5,500,,8277.94
4,Beaver Creek,Epic,Colorado,144,325,57,45,36,12,25,150,2082.0,8100,11440,3340,238.0,63.0,unlimited,2.8,650,,6746.8
5,Crested Butte,Epic,Colorado,145,236,17,30,30,44,16,121,1547.0,9375,12162,2787,211.0,53.0,unlimited,2.6,297,,7900.34
6,Heavenly Mountain,Epic,California,145,360,8,68,30,6,28,113,4800.0,6255,10067,3812,280.0,41.0,unlimited,5.5,3379,,8703.5
7,Northstar California,Epic,California,130,341,13,60,27,0,20,100,3170.0,6330,8610,2280,348.0,46.0,unlimited,1.4,1500,,4879.2
8,Kirkwood Mountain,Epic,California,175,362,10,26,33,17,15,86,2300.0,7800,9800,2000,370.0,46.0,unlimited,2.5,200,,5325.58
9,Stevens Pass,Epic,Washington,130,460,3,25,15,9,10,52,1125.0,4061,5845,1784,338.0,61.0,unlimited,1.0,0,450 ac,4597.23
10,Stowe Mountain,Epic,Vermont,150,315,19,64,17,17,12,116,485.0,1559,3719,2160,224.0,61.0,unlimited,3.7,388,,4953.1
11,Okemo Mountain,Epic,Vermont,140,200,40,46,26,11,20,122,667.0,1144,3344,2200,120.0,32.0,unlimited,3.4,654,,4580.33
12,Mount Snow,Epic,Vermont,135,133,13,57,14,1,20,86,600.0,1900,3600,1700,135.0,39.0,unlimited,1.2,240,150 ac,3419.77
13,Mount Sunapee,Epic,New Hampshire,130,100,20,31,7,9,8,67,230.0,1230,2743,1513,97.0,25.0,limited,0.8,215,,3138.91
