,Resort,vertical_ft,Location (State),beginner_runs_frac,intermediate_runs_frac,advanced_runs_frac,expert_runs_frac
0,Keystone,3128,Colorado,0.1925925925925926,0.31851851851851853,0.4888888888888889,0.0
1,Breckenridge,3398,Colorado,0.13368983957219252,0.22994652406417113,0.3582887700534759,0.27807486631016043
2,Vail,3450,Colorado,0.2290909090909091,0.3490909090909091,0.4,0.01818181818181818
3,Park City,3126,Utah,0.07624633431085044,0.41055718475073316,0.2785923753665689,0.2287390029325513
4,Beaver Creek,3340,Colorado,0.38,0.3,0.24,0.08
5,Crested Butte,2787,Colorado,0.14049586776859505,0.24793388429752067,0.24793388429752067,0.36363636363636365
6,Heavenly Mountain,3812,California,0.07079646017699115,0.6017699115044248,0.26548672566371684,0.05309734513274336
7,Northstar California,2280,California,0.13,0.6,0.27,0.0
8,Kirkwood Mountain,2000,California,0.11627906976744186,0.3023255813953488,0.38372093023255816,0.19767441860465115
9,Stevens Pass,1784,Washington,0.057692307692307696,0.4807692307692308,0.28846153846153844,0.17307692307692307
10,Stowe Mountain,2160,Vermont,0.16379310344827586,0.5517241379310345,0.14655172413793102,0.14655172413793102
11,Okemo Mountain,2200,Vermont,0.32786885245901637,0.3770491803278688,0.21311475409836064,0.09016393442622951
12,Mount Snow,1700,Vermont,0.1511627906976744,0.6627906976744186,0.16279069767441862,0.011627906976744186
13,Mount Sunapee,1513,New Hampshire,0.29850746268656714,0.4626865671641791,0.1044776119402985,0.13432835820895522
14,Afton Alps,350,Minnesota,0.35135135135135137,0.3783783783783784,0.2702702702702703,0.0
15,Wilmot Mountain,190,Wisconsin,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
16,Mt. Brighton,230,Michigan,0.19230769230769232,0.46153846153846156,0.2692307692307692,0.07692307692307693
17,Telluride,4425,Colorado,0.1564625850340136,0.29931972789115646,0.2108843537414966,0.3401360544217687
18,Alta,2538,Utah,0.15126050420168066,0.29411764705882354,0.5546218487394958,0.0
19,Arapahoe Basin,2530,Colorado,0.06802721088435375,0.19727891156462585,0.4897959183673469,0.23809523809523808
20,Aspen Snowmass,4470,Colorado,0.02631578947368421,0.631578947368421,0.34210526315789475,0.34210526315789475
21,Big Sky,3666,Montana,0.14826498422712933,0.24921135646687698,0.4195583596214511,0.17981072555205047
22,Boyne Mountain,500,Missouri,0.49206349206349204,0.2698412698412698,0.20634920634920634,0.031746031746031744
23,Brighton,1745,Utah,0.2153846153846154,0.4,0.38461538461538464,0.0
24,Copper Mountain,2601,Colorado,0.25333333333333335,0.24,0.34,0.16666666666666666
25,Crystal Mountain,3100,Washington,0.08235294117647059,0.3058823529411765,0.3176470588235294,0.29411764705882354
26,Deer Valley,3000,Utah,0.27450980392156865,0.3137254901960784,0.09803921568627451,0.3235294117647059
27,Eldora Mountain,1240,Colorado,0.18032786885245902,0.47540983606557374,0.18032786885245902,0.14754098360655737
28,Jackson Hole Mountain,4139,Wyoming,0.03816793893129771,0.4122137404580153,0.3816793893129771,0.16793893129770993
29,June Mountain,2545,California,0.16279069767441862,0.3953488372093023,0.27906976744186046,0.16279069767441862
30,Killington/Pico,3064,Vermont,0.18064516129032257,0.4258064516129032,0.3935483870967742,0.0
31,Mammoth Mountain,3106,California,0.15028901734104047,0.4797687861271676,0.24277456647398843,0.12716763005780346
32,Mt. Bachelor,3365,Oregon,0.19327731092436976,0.5462184873949579,0.2184873949579832,0.03361344537815126
33,Palisades Tahoe,2850,California,0.2518518518518518,0.45185185185185184,0.3,0.0
34,Snowbasin,2959,Utah,0.09322033898305085,0.3305084745762712,0.5169491525423728,0.059322033898305086
35,Snowbird,3240,Utah,0.07857142857142857,0.25,0.42857142857142855,0.2357142857142857
36,Solitude Mountain,2588,Utah,0.04878048780487805,0.3048780487804878,0.4634146341463415,0.18292682926829268
37,Steamboat,3668,Colorado,0.11695906432748537,0.4327485380116959,0.39766081871345027,0.05263157894736842
38,Stratton Mountain,2003,Vermont,0.40404040404040403,0.3434343434343434,0.25252525252525254,0.0
39,Sugarbush,2600,Vermont,0.22522522522522523,0.42342342342342343,0.2702702702702703,0.07207207207207207
40,Sun Valley,3400,Idaho,0.25833333333333336,0.39166666666666666,0.35,0.0
41,Taos Ski Valley,3281,New Mexico,0.13636363636363635,0.15454545454545454,0.3,0.4
42,The Summit at Snoqualmie,2810,Washington,0.15384615384615385,0.4,0.4461538461538462,0.0
43,Windham Mountain,1600,New York,0.2037037037037037,0.48148148148148145,0.18518518518518517,0.12962962962962962
44,Winter Park,3060,Colorado,0.24242424242424243,0.21212121212121213,0.47878787878787876,0.07272727272727272
